,Year,FG%,2P%,3P%,FT%,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
10,1992,0.7581053971212888,0.12312434619976205,-0.3524838293112475,0.4252661634889539,0.8841867675800784,0.9099610781875477,1.0076571188962413,1.0318379559404551,-0.913251573658504,-0.8938392307987351,0.584427933818945,0.5173859130847295,1.3522054763030846,-0.58359599469104,1.0965385690430691,0.7517746525474894,0.7483317413805828,1.616002077057571,0.09611015302825285,0.041592874650453755,0.6308081073814116
11,1993,0.754013868724872,0.22935340322456385,-0.1762906937127537,-0.058247581159499004,0.7340431615099102,0.6767631308098069,0.8466921355183337,0.8417508495572827,-0.7721255107139443,-0.7622424195540202,0.5453838388745718,0.5709561533777789,0.9790892367037729,-0.58359599469104,0.5895240737569691,0.898464190256159,1.1324038918309383,0.564283982625446,0.142739934855429,0.30786903802311744,0.5304870946021202
12,1994,0.19347447841595442,-0.21403744348765882,-0.006746355684013628,-1.9202898743801045,0.1463381891781094,0.1304136540962396,0.42025505268880187,0.4913942221059477,-0.6053401635976466,-0.5712665593330314,0.14843554027344094,0.4867743472029853,1.215797388707638,-0.58359599469104,0.910633254104835,0.6442023248944666,1.5616610011578103,0.9283402460827193,0.4178556476357685,-0.05071619531873712,-0.10851413897031834
13,1995,0.3653186710654034,0.4972353731131974,0.8359887362823676,-1.4727824724182454,-0.24403518660432647,-0.6324767737537975,-0.2608430486192102,-0.3608917581480114,0.22217175094090735,0.15973767873974468,0.15494288943083617,0.4230002516160206,0.2930367961501984,-1.0778350875675697,-1.0385558055506172,0.26280952685192444,0.5788881455936601,-0.08292715240970808,0.19403269486532249,0.6274004340703139,-0.08343388577549612
14,1996,0.04617945614499557,0.17854820203878782,0.9024767119799126,-1.354475917876606,-0.690176187498542,-1.1555064557295853,-0.5911816339096934,-0.6522344146633952,0.3611595402044888,0.288124811661418,-0.033770236133636417,0.20616832662034076,-0.047983422838420615,-1.0321491209991502,-1.4667013793477695,-0.2457142038714621,-0.23444111418357053,-1.0335185069925903,0.1007731312109702,0.43213124759702715,-0.5294262143269072
15,1997,-0.4229824666439775,-0.17462492377990596,0.7330431872440025,-1.1250640773306362,-0.981168795453581,-1.312193267039107,-0.8194956476462182,-0.8348671247178148,0.48190072739038997,0.4478598028714665,-0.4209575109986735,-0.24620259140986084,-0.08489384654071884,-1.162561789203547,-1.7194574944052048,-0.5712563186678875,0.3763089132972929,-0.948572045519226,0.02865240198493842,-0.16432735835773987,-0.8900002892437805
16,1998,-0.4979938205782619,-0.6897588727726462,0.38054610275418493,-1.267031942780613,-0.986173582322587,-1.262111231673697,-0.47946713052054823,-0.3758005508055156,-0.12850513273951333,-0.12431885284945707,0.02154223170422576,0.2571876030899125,0.21680874719980098,-0.9823098847426941,-1.0103883335902784,-0.39566350908476944,0.2625934334580699,-0.8717157232338025,-0.020464301539687507,0.1339019446196426,-1.0648350977468197
17,1999,-1.5699742604391131,-2.0337873768690717,0.09132340846986539,-2.2494907218003237,-1.6232114537917302,-1.5985825557472952,-0.7869823226455067,-0.45904130980991015,-0.22045090102157483,-0.17808096476040758,-0.4209575109986735,-0.04637709190403872,0.06435264929900614,-0.7248071640843352,-0.9033519401409918,-1.318177712897069,0.1383347965476606,-0.2649552841383461,-0.006475366991534134,-0.274388172551775,-1.9022974652956819
18,2000,-0.829407620687913,-1.2624720497759359,0.496900060224889,-0.22284800486959955,-0.6815965528659615,-0.5042179026960393,-0.3293132281157835,-0.10992708174669934,-0.09429275384386264,-0.10265352416892459,-0.3851670906329988,-0.35504371454494826,-0.21247552846822598,0.1889121672840368,-0.041427298154618056,-0.21637629632972893,-0.3812922305322365,0.07887563134907971,-0.23029831976198015,0.513789271031309,-0.8674644095614742
19,2001,-1.263109630707956,-1.770524061633688,0.4885890632626961,-0.28971692700183105,-1.0462310247506557,-0.8306950290248749,-0.5623520846479781,-0.26957540312080125,-0.045112459181364646,-0.052903510161776364,-0.642207382350124,-0.5897323863049779,-0.3528956186400103,0.19721870666011482,-0.21043212991665136,-0.6531851419510996,-0.5281433468809025,0.7260867663842338,-0.4820991416287316,0.10904950270486108,-1.3036427259931735
20,2002,-1.2140112899509683,-1.5719219115438419,0.4470340784517299,-0.058247581159489865,-0.874638332099035,-0.5625173895404745,-0.5623520846479781,-0.31119578262299924,0.13450253002080226,0.13325783257464974,-0.7170418976601737,-0.7300353965963002,-0.09211545117812515,-0.16411575619919783,-0.3512694897183458,-0.6401460719325519,0.0140761596372513,0.15977702322847503,-0.8178335707843993,-0.5122615451646875,-1.0582924230003428
21,2003,-1.3531232554290935,-1.719718860447912,0.3921814985012547,0.18350929116472744,-1.01620230353662,-0.7007704583429916,-0.6236148768291224,-0.3528161621251972,0.10029015112515156,0.11640702137867998,-0.5315824466743997,-0.569324675717149,-0.28870357741862224,-0.1807288349513491,-0.6611116812820735,-0.7444586320809388,0.09314983767114725,-0.952617115113195,-0.5986735961966719,-0.29924061446655653,-1.1509803152420788
22,2004,-1.6518048283674245,-2.0106941036028108,0.3157203264490791,-0.09425392384608379,-1.2800260684884885,-0.9622852993308874,-0.7605552358222676,-0.4453749165405315,0.08104568799634786,0.11159250389411728,-0.7853690638128282,-0.7861566007128288,-0.2806795722659493,-0.105969980566666,-0.5428082990486489,-0.8650700297525111,-0.08758999783490293,-0.28518063210819355,-0.4820991416287316,-0.5122615451646875,-1.525003221582263
23,2005,-1.2140112899509683,-1.3132772509617119,0.5467660419980466,-0.011953711991019808,-1.0848393805972694,-0.9372998049689866,-0.8122081782495068,-0.6286288262890146,0.36329781388546717,0.3587377347683378,0.1093914453290659,0.12963941191598316,-0.3890036418270396,-0.2928671165283761,-0.9484198952775315,-1.2823202703460603,-0.7766606207017227,-0.6896875915051645,-0.6686182689374361,0.1623047353793938,-0.8794593132633475
24,2006,-0.7762177515345122,-0.6989961820791539,0.5783478304543807,-0.9378310953603936,-1.0011879429296047,-1.108866866254038,-0.7725675480146488,-0.6938547941655931,0.37612745597133607,0.3611449935106193,-0.27779582953597115,-0.12290600660839632,-0.8423599329530865,-0.05613074431020745,-1.2526285924491902,-1.2464628277950514,-1.951469551491052,-1.1144198988719827,-0.8924412217078809,-0.02586375340395558,-0.9219866991154366
25,2007,-0.36297338349654995,0.06308183570748241,0.5883210268090128,-0.958406148324155,-0.7202049087125753,-0.9106486109829606,-0.699292443641124,-0.7429295699965425,0.5258066136398084,0.518419231339669,-0.25502010748508697,-0.0897434769031744,-0.8343359278004135,-0.07274382306235873,-1.280796064409529,-0.8487711922293256,-1.6351748393554635,-1.2964480306006207,-0.3282208615990498,-0.07201828838855102,-0.5468733469841767
26,2008,-0.199312247639931,0.1415989648127693,0.741243370913367,0.24523445005602085,-0.5014242255817601,-0.6724535647328366,-0.59959025244436,-0.6485072164990191,0.5642955398974155,0.5144071334358667,-0.41119648726258157,-0.4672861227780055,-0.7540958762736797,0.31351025792517845,-0.6329442093217347,-0.6727437469789229,-1.3075838875007473,-0.7705889833845598,-1.1908718254018085,-0.8850481738864167,-0.3625880082917827
27,2009,-0.3384242131180598,-0.0985710771563493,0.7728251593696995,0.7493232476682352,-0.7180600000544295,-0.9206428087277193,-0.7101035246142667,-0.7273995776449762,0.5578807188544811,0.49755632223989693,-0.46976262967914045,-0.597385277775414,-0.8303239252240759,-0.043670935246092814,-1.2357281092729895,-1.3442558529341644,-1.4318425244111566,-0.9121664191734973,-1.3027833017870314,-0.8424439877467909,-0.6046669739113764
28,2010,-0.11748167971162336,0.432574207967668,0.5417794438207321,0.1423591852372046,-0.5100038602143407,-0.7407472493220343,-0.5695594719634071,-0.665279608238711,0.508700424191983,0.50317325930522,-0.40794281268388305,-0.4494293760136557,-0.9787680205485343,0.471334506070625,-0.7399806027710212,-1.063915847535375,-1.7594334762658743,-0.1840538922589508,-0.9810378071795158,-0.789188755072258,-0.3985727193973974
29,2011,-0.24022753160408483,0.22473474857131412,0.603280821340961,1.0888116215703398,-0.6494229229937826,-0.8806660177486766,-0.662054275844742,-0.7323691751974771,0.5386362557256776,0.5240361684049921,-0.4600016059430485,-0.6560574457154204,-1.203440164823389,0.3010504488610662,-1.2638955812333283,-1.1356307326373907,-1.386657565534645,-1.0941945509021354,-0.9996897199103866,-1.0448138719100148,-0.5392402264466214
30,2012,-0.8703229046520704,-0.5558178878283294,0.41545228999539585,-0.9429748586013317,-0.771682716508061,-0.6424709714985564,-0.7113047558335052,-0.6478860168049569,0.4958707821061138,0.5272458467280338,-1.4068209083441063,-1.324409967466811,-0.6818798298996187,0.6083924057758813,-0.12029621964356565,-1.2432030602904154,-0.42647718940874824,0.15977702322847503,-0.6033365743793893,-1.6057689894150933,-1.0059510250285393
31,2013,-0.5348175761459989,0.07693779966723988,0.7063371836721546,-0.5263300360851194,-0.5764960286168418,-0.5258719978096859,-0.8110069470302691,-0.850397117069381,0.872206949958273,0.845806420289935,-1.3840451862932222,-1.3550215333485538,-0.7982279046133831,0.587626057335691,-0.31746852336593784,-0.6401460719325519,-0.15536743614967136,0.3418051549571102,-0.4401323379842728,-1.406949454096837,-0.6013956365381391
32,2014,-0.4202547810463675,0.40024362539489916,0.7395811715209277,0.5487164812715407,-0.4413667831536914,-0.4042759252484361,-0.8098057158110307,-0.9025778913706444,1.0005033708169635,0.9701814553078063,-0.9903505622707879,-1.097374187177216,-1.2676322060447758,1.0735586108361452,-0.32873551215007596,-0.5521323493073506,-0.991289175365157,-1.2964480306006207,-0.5567067925522131,-1.0306124765301403,-0.27099056184112735
33,2015,-0.7107532971918648,0.2801586044103399,0.5467660419980481,0.09092155282779646,-0.28693335976723167,0.06545136875529979,-0.8037995597148401,-0.8839419005487649,1.1459059811234797,1.1731936092402016,-1.4914164473902498,-1.546343820109448,-1.107152102991308,1.3144482527423504,0.24588091584083988,-0.30113025145029243,-0.5055508674426458,-1.3166733785704683,-0.8411484616979874,-1.2933382910578342,-0.21101604333176868
34,2016,-0.8048584503094193,0.5018540277664513,0.48360246508538,-0.02738500171384316,-0.20971664807400428,0.2736638217711398,-0.896294363596175,-1.01874223416036,1.3832543597120572,1.4476211058602781,-1.0163799589003706,-1.0310491277667737,-1.2074521673997254,2.0578835269011613,1.0740045914747993,-0.636886304427914,-0.35869975109397984,-0.4672087638368316,-0.8924412217078809,-1.1477739884141107,0.15537374247086028
35,2017,-0.37115644028938,1.3470678293116283,0.7030127848872791,1.330568493894557,0.028368212980120096,0.3469546052327132,-0.928727606515604,-1.1709361592057097,1.6761978540060671,1.6787179451192893,-0.8471888808080856,-1.0769664765893872,-1.4281123090982437,1.8294536940590684,0.4824876803076827,-0.3500267640198489,-0.5733283057574158,-1.2155466387212255,-0.9717118508140811,-1.2933382910578342,0.6013660710222714
36,2018,-0.05201722536897579,2.1276204657112636,0.7129859812419098,1.5003126808456049,0.3136410645134387,0.5834839518587083,-0.8770746640883655,-1.2442377231051032,1.8793338536989939,1.8857421969554873,-1.5206995185985293,-1.7835834556929566,-1.7089524894418122,2.182481617542303,0.5500896130124986,-0.0794660611349711,-0.2683298333409531,-0.30540598007804093,-0.8271595271498353,-1.307539686437709,0.7736565060127946
37,2019,-0.21567836122559472,2.501731492624707,0.6531468031141185,1.3614310733402037,0.7919556952798332,1.5129443421214175,-0.8482451148266503,-1.2634949136210447,2.302712042532673,2.3599721691849167,-1.0489167046873487,-1.281043582467674,-1.2275121802814088,3.191726151735553,2.6063150661172374,0.7159172099964825,-1.1042515725564388,-0.4065327199272837,-1.004352698093104,-0.739483871242693,1.6318373435921611
