,Year,2P,2P%,2PA,3P,3P%,3PA,AST,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,ORB,PF,PTS,STL,TOV,TRB
310,2002,-0.42885974859862586,-1.2649850915561045,-0.10209847209976708,0.037077135463387964,0.04976194188346913,0.1339720846137017,-0.3754774841861431,0.6960305375068345,-0.12215739115757848,-0.6580340329782661,-1.2877715375563454,0.006241669516947553,-1.1326648963828163,-1.5806299699075013,-0.6235708179866121,0.2417359339417449,0.12450008034014504,-0.9533441096590534,-0.07928481709055621,-1.2116400124606557,0.1633224731873195
335,2003,-0.7110531762479383,-1.4234060116850678,-0.3648137666926367,-0.16839199022955334,-0.015443361274180658,-0.09164908515619132,-1.1681521730235542,0.13836751649232143,-0.2822256968123379,-1.3160680659565323,-1.3831620218197784,-1.1085205062098544,0.005445504309532549,-0.5973185561587727,0.20439842120359775,-0.16766642772003923,-0.27229372409877745,-1.4090760981821715,-0.016517670227201162,0.03671636401395978,-0.5449999920489846
343,2004,-0.6493233639496516,-1.876037212053541,-0.17246864029428544,-0.32983201755972125,-0.1784566191683039,-0.25363351473457596,-0.8732034515956798,0.5366982457884016,-0.506321324729002,-1.3875935043237353,-1.717028716741796,-0.9543512691412529,-0.20148365945271351,-1.3348021164703225,0.283252634459808,0.08821004831857619,-0.45542932614750953,-1.6188574897245573,-0.07928481709055397,-0.5874618242233486,-0.41008142724206725
366,2005,-0.8345128008445128,-1.6497216118693094,-0.4492579685260579,-0.03630469514123382,0.22364275030386857,0.0009134460314571232,-1.0944149926665845,1.4130258502397777,-0.6023623081218568,-1.3875935043237353,-1.5262477482149301,-1.1203796782920536,-0.4084128232149596,-0.9865459907676439,-0.09130487850719318,0.1649729911301601,-0.6080423278547898,-1.5320513966725358,-1.2090934606309292,-1.1014909204187777,-0.443811068443799
371,2006,-0.6493233639496516,-0.359722690819158,-0.5899983049150946,0.05175350158431201,0.3431858060928932,0.08190566082064955,-1.9792611569502077,0.3773659540699701,-0.21819837455043323,-1.001356137140841,-0.5008000423830276,-1.3338447757716554,0.5745007046557051,-0.5768329017056764,0.7760914673111239,-0.29560466573934696,0.7044294868278039,-0.8448364933440254,-1.7739977824011157,-0.8811927363350216,-0.6124592744524384
397,2007,-0.8521498900725945,-0.8349854512060549,-0.6791338512948182,0.35995719012372374,0.49533151346074267,0.36537841258282255,-1.1865864681127953,-1.215956963114352,-0.21819837455043323,-1.0299663124877205,-0.9539048426343307,-0.9543512691412529,-0.8998695871502892,-1.3143164620172263,-0.48557594478824445,-0.5770687893818243,-0.5469971271718799,-1.1124886135877603,-1.0207920200408662,-0.8077600083071034,-0.9834853276714588
408,2008,-0.7639644439321844,0.04764538951246796,-0.8104914985912517,0.6681608786631349,0.7778878271438906,0.6199253733488554,-0.4676489596323537,-0.8176262338182719,0.7101977982471687,-0.5865085946110632,-0.23847621065858732,-0.788322859990452,0.5486345591854241,0.5908494021209464,0.3226797410879138,-0.8073576178165778,0.12450008034014504,-0.11421854348950429,0.046249476636153884,-0.44059636816751213,-0.34262214483861336
425,2009,-0.8609684346866356,-0.3144595707823107,-0.843330910415361,0.8589536382351517,0.5931394681972174,0.8629020177164326,-1.22345505829128,-0.3396293586629745,0.614156814854314,-0.5865085946110632,-0.7154286319757487,-0.37325183711345156,-0.12388522304187055,-0.5358615927994792,0.08611710131928164,-0.47471819896637846,-0.5775197275133338,-0.20102463654152583,-0.39312055140732477,-1.1382072844327373,0.02840390838040214
440,2010,-0.5611379178092416,0.02501382949404681,-0.5899983049150946,0.25722262727725304,0.01715929030464544,0.3885190453797346,-0.8732034515956798,-0.8972923796774862,-0.1541710522885308,-0.672339120651706,-0.5008000423830276,-0.6934494833328539,-0.5636096960366418,-0.0032345770189109047,-0.5644301580444547,-0.9352958558358855,-0.4249067258060556,-0.707393512678323,-0.2675862576806169,-0.8077600083071034,-1.4219706632939328
452,2011,-0.8256942562304711,0.3871187897888254,-0.9653058686191925,0.5507499496957404,0.5170666145132926,0.5678589495558034,-1.0206778123096176,-1.136290817255135,0.4861021703305091,-0.8153899973861118,-0.11923810532929631,-1.2864080874428545,-0.17561751398243253,0.713763328839538,-0.4067217315320342,-1.3191105698938086,-1.0048361322937145,-0.6061197374509631,-1.8995320761278258,-0.9546254643629412,-1.2195928160835616
476,2012,-0.6669604531777332,-0.20130177069019486,-0.6556771285633121,0.28657535951910196,0.32145070504034323,0.3364526215866825,-1.99769545203945,2.1300211629727226,0.3260338646757497,-0.8153899973861118,-0.5008000423830276,-0.9780696133056549,0.10891008619065466,1.430761234697987,-0.3870081782179827,-0.7305946750049939,-0.9132683312693463,-0.656756625064644,-0.016517670227201162,0.3671636401395926,-0.6124592744524384
496,2013,-0.7551458993181434,0.9302762302309934,-1.0028366249896024,0.8736300043560757,0.9191659839854663,0.7992652775249243,-0.22800312347220522,-0.10063092108532584,0.2299928812828927,-0.37193227950945446,0.38156193705372593,-0.9069145808124521,-1.4689247874964635,0.6932776743864372,-1.6881026969454553,-2.035564702801933,-2.073127144244662,-0.34570145829489646,0.48561950467963255,-0.6976109162652253,-2.4338598993457987
510,2014,-0.6228677301075283,1.3829074305994615,-0.9606145240728909,0.8442772721142277,0.7996229281964417,0.8050504357241524,-0.3017403038291735,-1.056624671395919,0.10193823675908562,-0.1716610520812854,0.6200381477123079,-0.7646045158260534,-1.6758539512587078,0.6932776743864372,-1.8852382300859818,-1.8820388171787632,-1.584765538781369,-0.2227261598045302,-0.07928481709055397,-0.4773127321814693,-2.332670975740618
519,2015,-0.9579724254410862,0.09290850954931529,-1.0309846922674093,1.4753610153139745,0.8430931303015415,1.4298475212407786,0.030077007777184337,-0.6582939420998389,1.0623480706876376,-0.11444070138752226,-0.5961905266464603,0.32643931573634655,-1.5465232239073048,0.16065065860587338,-1.6092484836892438,-0.705007027401132,-1.401629936732637,0.1751351000172369,0.171783770362864,-0.6241781882373071,0.1970521143890512
535,2016,-1.054976416195538,0.6360659499914832,-1.246786541397266,1.9009756328207807,0.9843712871431161,1.8174531205890563,0.417197204651268,-0.7379600879590547,2.310880854794763,0.15735596440784766,-0.3338666949220175,0.5754819294625496,-1.7275862421992698,-0.0032345770189109047,-1.7866704635157187,-0.9352958558358855,-0.5775197275133338,0.6163994063650168,-0.8324905794508034,-0.6241781882373084,1.208941350440917
549,2017,-0.9932466038972507,1.6092230307836983,-1.4016009114252064,2.0770920262718735,0.8648282313540903,2.0430742903589487,0.6937116309899,-0.10063092108532584,2.0867852268781033,0.4148475425297778,0.09539048426342751,0.6584961340379483,-1.1326648963828163,0.508906784308552,-1.3135451839784542,-1.4214611603092544,-1.6763333398057352,1.122768282501814,-0.14205196395390904,-0.7343272802791851,0.33197067919596374
563,2018,-0.8256942562304718,1.9486964310600556,-1.3077740204991812,1.8275938022161595,0.8213580292489928,1.8058828041906,0.619974450632933,0.29769980821075437,1.8947032600923939,0.4434577178766574,0.4292571791854423,0.4094535203117453,-1.2878617692044985,1.6970747425882664,-1.7669569102016658,-1.8820388171787632,-1.4321525370740908,0.9925591429237816,-0.8324905794508045,-0.4773127321814706,-0.5112703508472577
581,2019,-0.7639644439321844,1.858170190986361,-1.22332981866576,2.179826589118344,0.690947422933692,2.222414194535017,1.0070946475070168,0.6163643916476174,2.9511540774138005,0.872610348079877,0.09539048426342751,1.4767790077097465,-1.4689247874964635,1.9224169415723535,-2.003519549970298,-1.2679352746860866,-0.15020332273295528,1.5495649066742596,-0.33035340454397083,-0.8077600083071034,1.4450488388530198
