,season,team_id,efg_pct-season,ts_pct-season,fg_pct-season,fg2_pct-season,fg3_pct-season,ft_pct-season,fg_per_g-season,fga_per_g-season,fg2_per_g-season,fg2a_per_g-season,fg3_per_g-season,fg3a_per_g-season,ft_per_g-season,fta_per_g-season,orb_per_g-season,drb_per_g-season,trb_per_g-season,ast_per_g-season,stl_per_g-season,blk_per_g-season,tov_per_g-season,pf_per_g-season,pts_per_g-season,bpm-season,efg_pct-playoffs,ts_pct-playoffs,fg_pct-playoffs,fg2_pct-playoffs,fg3_pct-playoffs,ft_pct-playoffs,fg_per_g-playoffs,fga_per_g-playoffs,fg2_per_g-playoffs,fg2a_per_g-playoffs,fg3_per_g-playoffs,fg3a_per_g-playoffs,ft_per_g-playoffs,fta_per_g-playoffs,orb_per_g-playoffs,drb_per_g-playoffs,trb_per_g-playoffs,ast_per_g-playoffs,stl_per_g-playoffs,blk_per_g-playoffs,tov_per_g-playoffs,pf_per_g-playoffs,pts_per_g-playoffs,bpm-playoffs
20,1983,PHO,0.4876666666666667,0.5307499999999999,0.4972253052164262,0.5028376844494892,0.2777777777777778,0.7446808510638298,44.800000000000004,90.10000000000001,44.3,88.1,0.5,1.8,21.0,28.2,13.8,31.3,45.3,28.599999999999998,9.5,6.2,19.4,26.3,111.0,-3.3,0.419,0.4467272727272727,0.45,0.45930232558139533,0.11538461538461539,0.76171875,47.7,106.0,47.4,103.2,0.3,2.5999999999999996,19.5,25.6,17.1,35.2,52.3,27.7,9.2,8.4,14.0,26.4,115.0,-39.0
21,1983,POR,0.4676923076923077,0.5116153846153846,0.4805194805194805,0.48515864892528143,0.22222222222222224,0.7342857142857143,48.1,100.10000000000001,47.4,97.7,0.6000000000000001,2.7,25.7,35.0,16.0,32.4,48.5,30.599999999999998,11.4,5.1,20.9,29.1,122.8,-7.9,0.42924999999999996,0.4673333333333334,0.48119469026548667,0.4813979706877114,0.4117647058823529,0.7282229965156795,43.5,90.4,42.7,88.7,0.7,1.7,20.900000000000002,28.700000000000003,13.3,28.9,42.199999999999996,29.5,6.7,3.8000000000000003,15.700000000000001,24.2,108.7,14.8
22,1983,SAS,0.4587692307692308,0.4977692307692308,0.49638802889576883,0.5059076262083781,0.275,0.7515337423312883,48.1,96.9,47.1,93.1,1.1,4.0,24.5,32.6,16.9,34.6,51.5,30.6,9.2,6.0,19.7,28.9,122.1,-12.1,0.4940833333333334,0.5233333333333333,0.5053658536585366,0.516028955532575,0.3448275862068966,0.7470355731225296,51.800000000000004,102.5,49.9,96.7,2.0,5.8,18.9,25.3,16.1,36.7,52.800000000000004,34.3,7.9,7.2,17.4,26.0,124.5,14.5
23,1983,SEA,0.5062727272727273,0.5464545454545454,0.4950055493895672,0.5005649717514123,0.18750000000000003,0.7333333333333334,44.6,90.1,44.3,88.5,0.30000000000000004,1.6,23.1,31.5,13.8,30.4,44.300000000000004,28.5,8.399999999999999,5.2,18.7,23.3,112.30000000000001,-0.39999999999999947,0.3917,0.4227,0.40512820512820513,0.41798941798941797,0.0,0.7,39.5,97.5,39.5,94.5,0.0,3.0,17.5,25.0,20.5,33.5,54.0,21.5,5.5,3.5,11.5,26.5,96.5,-30.1
24,1984,ATL,0.4517333333333333,0.5044,0.45578231292517,0.4588701684836472,0.15000000000000002,0.7506631299734747,46.9,102.9,46.3,100.89999999999999,0.30000000000000004,2.0,28.3,37.7,17.1,35.4,52.6,27.5,10.0,7.7,20.5,33.9,122.5,-27.4,0.37074999999999997,0.42524999999999996,0.41829268292682925,0.424812030075188,0.18181818181818182,0.7924528301886793,34.3,82.0,33.9,79.8,0.4,2.2,25.2,31.799999999999997,13.9,24.4,38.3,20.6,7.8,4.6,15.6,25.7,94.2,-38.900000000000006
25,1984,BOS,0.47425,0.5196666666666666,0.49578947368421056,0.5054466230936819,0.25806451612903225,0.7813504823151126,47.1,95.0,46.4,91.8,0.8,3.1,24.3,31.099999999999998,15.2,33.0,48.3,27.7,9.0,5.5,18.6,26.1,119.3,-6.200000000000001,0.4325833333333333,0.4940833333333334,0.47014115092290987,0.4730941704035875,0.3103448275862069,0.7790055248618784,43.3,92.1,42.2,89.2,0.9,2.9,28.2,36.2,16.4,29.3,45.6,24.2,9.0,5.6,16.6,28.1,115.60000000000001,2.500000000000001
26,1984,DAL,0.46975000000000006,0.5146666666666667,0.4948559670781893,0.5021141649048625,0.24000000000000005,0.7500000000000001,48.1,97.2,47.5,94.60000000000001,0.6000000000000001,2.5,24.6,32.8,15.3,30.2,45.6,28.7,8.6,4.9,17.7,26.8,121.39999999999999,-13.5,0.4043333333333334,0.4643333333333333,0.4247967479674797,0.4378320935175346,0.11904761904761904,0.84375,41.800000000000004,98.4,41.2,94.1,0.5,4.2,24.3,28.8,16.8,29.4,46.3,23.5,8.0,4.3,13.7,24.0,108.2,-1.9999999999999991
27,1984,DEN,0.46375000000000005,0.5194166666666666,0.48824082784571965,0.49173955296404276,0.2941176470588235,0.8184438040345821,51.9,106.3,50.6,102.9,1.0,3.4000000000000004,28.4,34.7,15.6,32.7,48.5,32.7,9.6,4.7,17.8,31.4,133.2,-20.3,0.49539999999999995,0.5407,0.5052301255230126,0.525539160045403,0.26666666666666666,0.8602150537634409,48.300000000000004,95.6,46.300000000000004,88.1,2.0,7.5,24.0,27.9,13.3,29.2,42.5,27.299999999999997,8.4,4.7,15.1,28.7,122.6,-13.7
28,1984,DET,0.46728571428571425,0.5067142857142858,0.47523809523809524,0.48007774538386777,0.22222222222222218,0.7694610778443114,49.9,105.0,49.4,102.9,0.39999999999999997,1.8000000000000003,25.7,33.4,18.9,32.1,50.8,30.599999999999998,9.4,5.3,17.8,30.9,125.9,-13.9,0.4378,0.47940000000000005,0.4639289678135405,0.46885617214043035,0.22222222222222227,0.7790055248618784,41.8,90.1,41.4,88.3,0.4,1.7999999999999998,28.2,36.2,16.4,28.2,44.6,21.400000000000002,8.8,5.1,16.8,26.6,112.19999999999999,-12.499999999999998
29,1984,KCK,0.49827272727272726,0.5490909090909091,0.4891428571428571,0.4929742388758782,0.23809523809523808,0.7889273356401385,42.8,87.5,42.1,85.4,0.5,2.1,22.8,28.9,13.799999999999999,27.4,41.3,26.4,9.2,4.2,17.1,25.8,109.0,-2.6999999999999997,0.48581818181818187,0.5287272727272727,0.4291799787007454,0.43468468468468474,0.33999999999999997,0.7797833935018051,40.3,93.9,38.6,88.8,1.7,5.0,21.6,27.7,16.6,26.2,43.0,26.4,6.0,3.6,14.0,26.0,104.0,-8.899999999999999
