,player,g-playoffs,g-season,mp_per_g-season,mp_per_g-playoffs,fg_pct-playoffs,fg_pct-season,fg3_pct-playoffs,fg3_pct-season,fg2_pct-playoffs,fta_per_g-playoffs,fta_per_g-season,ft_pct-playoffs,ft_pct-season,tov_per_g-playoffs,tov_per_g-season,pf_per_g-playoffs,pf_per_g-season,pts_per_g-playoffs,pts_per_g-season,bpm-playoffs,bpm-season,per-playoffs,per-season,ts_pct-playoffs,ts_pct-season,usg_pct-playoffs,usg_pct-season,ws-playoffs,ws-season
460,John Stockton,9.578947368421053,79.15789473684211,31.668421052631583,35.026315789473685,0.4774210526315789,0.5124736842105263,0.34763157894736846,0.3427368421052631,0.506157894736842,4.131578947368421,3.8473684210526313,0.8180526315789474,0.8230526315789474,2.710526315789474,2.8000000000000003,3.1842105263157894,2.6,13.573684210526315,13.057894736842105,5.731578947368422,6.4526315789473685,19.610526315789475,21.468421052631577,0.5730000000000001,0.6041052631578947,18.57894736842105,18.678947368421053,1.131578947368421,10.926315789473684
461,John Wall,9.25,70.0,35.75,38.8,0.4125,0.43725,0.23225,0.33725,0.45125,6.7,5.525,0.82525,0.77925,3.975,3.85,2.3,2.225,21.725,19.85,4.45,3.5,20.125,20.425,0.5045,0.52575,28.975,28.3,0.85,6.8
463,Johnny Newman,6.5,71.66666666666667,22.883333333333336,20.016666666666666,0.3755,0.472,0.2111666666666667,0.30916666666666665,0.3806666666666667,2.983333333333334,3.1666666666666665,0.7615999999999999,0.7993333333333333,1.2833333333333334,1.3166666666666667,2.9499999999999997,2.6166666666666667,9.733333333333333,10.883333333333333,-2.75,-0.9666666666666667,9.15,13.0,0.459,0.5646666666666667,21.283333333333335,19.25,0.13333333333333333,3.766666666666667
467,Jonas Valančiūnas,7.714285714285714,73.42857142857143,26.74285714285714,27.32857142857143,0.5484285714285714,0.5612857142857143,0.20425000000000001,0.2723333333333333,0.5621428571428572,3.0,3.2714285714285714,0.7785714285714286,0.7884285714285715,1.7714285714285716,1.6142857142857143,2.628571428571429,2.8428571428571425,13.042857142857143,13.671428571428573,1.2428571428571427,1.2142857142857142,20.185714285714287,21.071428571428573,0.5905714285714286,0.6134285714285713,21.32857142857143,20.985714285714288,0.5857142857142856,7.485714285714286
471,Jordan Clarkson,10.75,74.75,25.275,24.775000000000002,0.42975,0.43725,0.32799999999999996,0.34625,0.50975,1.775,2.225,0.921,0.84,1.375,1.575,1.85,1.575,14.1,15.875,-1.45,0.5,13.775,16.425,0.5327500000000001,0.54925,25.625,27.325,0.05000000000000002,3.525
474,Jordan Poole,22.0,76.0,30.0,27.5,0.508,0.448,0.391,0.364,0.627,3.2,3.5,0.915,0.925,2.4,2.5,2.8,2.7,17.0,18.5,2.8,1.0,18.8,16.1,0.654,0.598,24.5,26.0,1.9,6.0
475,Josh Howard,9.428571428571429,63.285714285714285,30.685714285714287,29.52857142857143,0.3881428571428572,0.44857142857142857,0.294,0.3314285714285714,0.4094285714285714,3.771428571428572,3.642857142857143,0.7917142857142857,0.7664285714285715,1.7571428571428573,1.4428571428571428,2.8000000000000003,2.585714285714286,13.014285714285716,14.614285714285714,0.1571428571428571,0.557142857142857,14.771428571428572,16.657142857142855,0.4732857142857143,0.5187142857142858,22.099999999999998,22.599999999999998,0.5,5.3
478,Josh Richardson,7.5,61.75,28.9,25.75,0.374,0.44,0.33575,0.3775,0.40049999999999997,2.0500000000000003,1.85,0.8787499999999999,0.8095,1.2,1.4,2.525,2.325,9.175,11.325,-1.05,-0.8,10.450000000000001,12.225,0.508,0.5475,17.3,17.75,0.25,3.1
479,Josh Smith,9.125,73.5,31.8375,31.0625,0.427875,0.454625,0.236,0.25575,0.451,4.6875,4.2125,0.568875,0.60475,2.3125,2.4625,2.9375,2.6875,14.1625,14.9625,2.525,1.9749999999999999,15.924999999999999,17.5875,0.49675,0.504375,25.3375,24.6625,0.35,4.9625
481,Jrue Holiday,10.833333333333334,65.66666666666667,33.85,35.15,0.4163333333333334,0.4703333333333333,0.3535,0.37716666666666665,0.4403333333333333,2.6666666666666665,2.35,0.8195,0.7991666666666667,2.283333333333333,2.4333333333333336,1.9333333333333333,2.2666666666666666,16.066666666666666,16.216666666666665,2.766666666666667,2.033333333333333,16.25,17.75,0.5085000000000001,0.5496666666666666,22.7,22.416666666666668,0.9333333333333332,5.6499999999999995
