,g-diff,mp_per_g-diff,fg_pct-diff,fg3_pct-diff,fta_per_g-diff,ft_pct-diff,tov_per_g-diff,pf_per_g-diff,pts_per_g-diff,bpm-diff,per-diff,ts_pct-diff,usg_pct-diff,ws-diff,player
588,-1.0770021318690006,0.17335036383379823,-0.07310724293033424,0.11250811936895563,-1.1187726655487857,0.7732685359188068,-1.4144101950506636,0.20811119769692774,-0.8433679742998761,-0.33797085045415465,-0.4464773980003628,-0.2048863287343065,-1.7658141439815918,-1.113355575536404,Marcus Smart
592,0.9326222744549486,0.36665572299881555,-0.4911001389681787,0.17481528476861452,1.186211011071996,-0.38173935053315355,0.7887358884545513,0.7444676743990454,0.8286710568311095,-0.24661879311835885,-0.15409218710387634,-0.4975873935727511,1.035118602266428,0.0925936899792924,Mark Aguirre
599,0.6150457247830241,-1.2478993412182369,0.459995572842547,0.8458732535025721,-1.5964333086118194,-0.9719629866773069,-2.824792415871994,-0.11973198829663957,-0.08945416649823985,1.598438688546207,1.2455739437644744,-0.09070731277108424,-0.0826323573670321,1.5668051390484805,Mark Price
602,0.043407935373553856,-1.63169672992427,0.6671934283656126,-0.6680095099583805,-1.849816015326262,1.0658775069262207,0.16189934586729257,-1.295445482894256,-0.8411155642893728,0.852839596055819,0.5667568863012945,0.5919773865605635,-0.20294225826594742,1.1779480289434188,Marques Johnson
605,-0.025188599355581397,2.089005732809233,1.5521009363286917,-0.6900223459108864,1.444159171961472,0.4535391623898313,0.3989383745767613,1.5081790042231387,1.8489055339699878,0.35946919284656625,0.8105425787648521,1.7156764016604604,0.18575126771514733,-0.1682851307241031,Marvin Williams
612,0.33684866727041407,1.0735418085245165,-0.3400183693159437,1.312045083969497,0.9545142116889711,-1.2875458523827386,0.9362268396515542,-0.5568562362880619,0.31211836108880275,-0.9418645392137951,-0.9999865079364774,-0.1391779264236329,-0.30011563976121763,-0.6482037159803496,Matt Harpring
615,0.4275485298567179,-1.4973676438771568,-0.3934005945930669,0.9665102650786521,-0.6801466556823004,1.5710790547245443,-0.7672936466738188,0.19228428526965105,-2.1475133703818363,-0.48785289850775215,-0.7278292047120752,-0.1468239950561497,-1.9585413506138838,0.4733291009492478,Maurice Cheeks
618,0.25681937675308864,0.2837365340808467,-0.6018934367131493,1.3018891619277735,0.7627651363375016,1.524010587538364,0.7149904128560507,-0.1875616129849641,-0.30053716176835243,-0.544119298424313,-0.8160964381902601,-0.019708104040594525,0.4232862002591517,-0.9152353390588253,Maurice Lucas
621,0.12343722589087926,2.435489486502179,-1.5234922315917745,-1.2826178955868603,1.8173850507705804,0.3818157838204194,1.1021541597481814,2.87230812295499,2.465422331130864,-0.23368398853983924,-0.058469350835844765,-1.7974190611002099,2.2803774910577093,0.17873292323041373,Mehmet Okur
622,-0.20557207956923543,-0.8771321107707405,0.14344329357120134,-0.013127640371339231,0.594984695404967,-1.1034558473879026,0.5674994616590479,0.1817330103181323,-0.41465926896723204,-0.42770605721763527,-0.5071611210166158,0.0822394777262662,-0.03018958005212626,-0.5218661738787048,Metta World Peace
624,0.20346651640820582,-0.2884058694531472,0.8061886564456652,0.7468154917162968,0.9593079385727573,1.6247371073167889,-1.7628575672535818,-0.2825230875486179,-0.23927160948263693,1.6832540499967865,0.9492482313734278,1.4961250023554016,-1.1487631714866073,-0.017664528582142472,Michael Adams
625,-1.2370607129036515,1.6444404242247408,1.1023089249640416,-0.8989691853555222,1.3619809968108423,4.065707815592038,-0.03721343824865944,2.186475251106378,1.6419412312905124,1.0779051957220627,1.9113610762856386,1.5534705170992587,-0.22885515999801978,-1.4751403551911126,Michael Beasley
630,-0.19667993617842008,-0.05706133237201198,0.07495289132885477,-0.0779154189133726,-0.19118651353605565,-1.2021950318851304,-0.20314075834528675,-0.25086926269406523,0.3121183610888037,-0.5053148846887539,-0.056998230277874797,-0.4220824658266662,1.6498302155772684,-0.3329341222812461,Michael Finley
631,-0.47370440335378,-1.327447090586791,-0.339243591010037,-1.0545810783900562,-2.731124265499359,-0.22693639178749941,-1.9058103353368288,-0.8571617541389329,-2.220283539951974,-1.1590200083877913,-0.8466504805480916,-0.6093376274325769,-1.4587213422048615,3.780678092100373,Michael Jordan
