,season,player,pos_x,age_x,team_id_x,g-season,mp_per_g-season,fg_pct-season,fg3_pct-season,fg2_pct-season,fta_per_g-season,ft_pct-season,tov_per_g-season,pf_per_g-season,pts_per_g-season,bpm-season,per-season,ts_pct-season,usg_pct-season,ws-season,pos_y,age_y,team_id_y,g-playoffs,mp_per_g-playoffs,fg_pct-playoffs,fg3_pct-playoffs,fg2_pct-playoffs,fta_per_g-playoffs,ft_pct-playoffs,tov_per_g-playoffs,pf_per_g-playoffs,pts_per_g-playoffs,bpm-playoffs,per-playoffs,ts_pct-playoffs,usg_pct-playoffs,ws-playoffs
95,1982,Johnny Moore,PG,23,SAS,79,29.0,0.463,0.048,0.477,2.3,0.67,2.2,3.2,9.4,2.5,17.0,0.496,16.0,5.8,PG,23,SAS,9,32.4,0.476,0.0,0.494,3.0,0.593,1.7,4.2,10.4,3.8,16.9,0.501,14.7,0.8
97,1982,Larry Nance,PF,22,PHO,80,14.8,0.521,0.0,0.522,1.5,0.641,1.3,2.1,6.6,-0.2,14.7,0.543,20.6,2.4,PF,22,PHO,7,18.3,0.61,,0.61,1.1,0.5,1.7,2.1,7.7,2.0,18.1,0.606,17.4,0.2
98,1982,Norm Nixon,PG,26,LAL,82,36.9,0.493,0.25,0.495,2.7,0.808,2.9,3.2,17.6,-0.8,15.3,0.525,21.1,6.6,PG,26,LAL,14,39.2,0.478,0.333,0.48,4.1,0.754,2.4,3.1,20.4,1.1,16.9,0.514,22.3,1.5
99,1982,Mike O'Koren,SF,23,NJN,80,25.2,0.492,0.348,0.497,2.4,0.714,1.8,2.2,11.4,0.1,13.6,0.528,19.9,4.1,SF,23,NJN,2,22.0,0.273,0.0,0.3,1.0,0.5,1.0,4.0,3.5,-9.6,1.8,0.295,13.5,0.0
101,1982,Robert Parish,C,28,BOS,80,31.7,0.542,,0.542,4.4,0.71,2.8,3.3,19.9,3.8,22.6,0.571,25.5,10.0,C,28,BOS,12,35.5,0.488,,0.488,6.3,0.68,3.3,3.9,21.3,4.0,20.7,0.527,26.8,1.5
102,1982,Billy Paultz,C,33,HOU,65,12.4,0.394,,0.394,1.0,0.523,0.7,1.5,3.3,-4.5,7.7,0.416,15.2,0.1,C,33,HOU,3,11.3,0.333,,0.333,1.0,0.333,0.3,1.3,2.3,-5.9,4.5,0.339,14.7,0.0
106,1982,Kurt Rambis,PF,23,LAL,64,17.7,0.518,0.0,0.52,1.8,0.504,1.2,2.6,4.6,-0.1,12.8,0.528,12.5,2.3,PF,23,LAL,14,19.9,0.516,,0.516,1.9,0.615,1.2,3.4,5.9,-1.4,11.8,0.543,13.0,0.6
108,1982,Robert Reid,SF,26,HOU,77,37.8,0.456,0.1,0.46,2.8,0.748,2.0,3.9,13.4,0.1,13.3,0.492,17.0,5.2,SF,26,HOU,3,38.3,0.484,,0.484,1.7,0.8,0.0,3.3,11.3,5.0,17.6,0.512,12.8,0.4
109,1982,Clint Richardson,SG,25,PHI,77,13.5,0.452,1.0,0.448,1.1,0.784,1.0,1.4,4.6,-2.8,9.8,0.503,17.1,1.0,SG,25,PHI,21,19.8,0.452,,0.452,1.4,0.567,1.0,2.3,5.3,-0.4,9.9,0.474,13.9,0.5
110,1982,Rick Robey,C,26,BOS,80,14.8,0.493,0.0,0.496,2.0,0.535,1.2,2.3,5.7,-2.7,11.0,0.511,18.1,1.9,C,26,BOS,12,10.2,0.525,,0.525,1.4,0.765,0.9,2.3,4.6,-1.4,12.8,0.579,19.5,0.3
111,1982,Truck Robinson,PF,30,PHO,74,37.1,0.513,1.0,0.513,5.0,0.687,2.7,2.9,19.1,-0.6,16.1,0.548,22.4,6.9,PF,30,PHO,7,30.4,0.563,,0.563,1.4,0.3,1.4,2.4,13.3,-0.8,15.7,0.551,17.4,0.3
112,1982,Tree Rollins,C,26,ATL,79,25.5,0.584,,0.584,1.6,0.612,1.0,3.6,6.1,2.6,14.7,0.6,10.4,6.4,C,26,ATL,2,32.5,0.333,,0.333,2.0,0.75,2.5,4.0,3.5,-4.3,4.1,0.451,9.2,-0.1
