,season,player,pos_x,age_x,team_id_x,g-season,mp_per_g-season,fg_pct-season,fg3_pct-season,fg2_pct-season,fta_per_g-season,ft_pct-season,tov_per_g-season,pf_per_g-season,pts_per_g-season,bpm-season,per-season,ts_pct-season,usg_pct-season,ws-season,pos_y,age_y,team_id_y,g-playoffs,mp_per_g-playoffs,fg_pct-playoffs,fg3_pct-playoffs,fg2_pct-playoffs,fta_per_g-playoffs,ft_pct-playoffs,tov_per_g-playoffs,pf_per_g-playoffs,pts_per_g-playoffs,bpm-playoffs,per-playoffs,ts_pct-playoffs,usg_pct-playoffs,ws-playoffs
3025,1998,Wesley Person,SG,26,CLE,82,39.0,0.46,0.43,0.486,2.1,0.776,1.3,1.3,14.7,3.8,15.1,0.583,16.5,10.3,SG,26,CLE,4,34.0,0.379,0.368,0.4,1.0,0.75,0.3,1.3,8.0,3.0,10.4,0.52,11.8,0.2
3026,1998,Bobby Phills,SG,28,CHH,62,30.4,0.446,0.386,0.461,2.3,0.757,1.7,2.9,10.4,-0.5,12.5,0.523,17.7,3.2,SG,28,CHH,9,29.9,0.391,0.294,0.426,0.9,0.25,1.4,2.7,6.3,-2.1,6.9,0.422,15.1,-0.1
3027,1998,Scottie Pippen,SF,32,CHI,44,37.5,0.447,0.318,0.496,4.4,0.777,2.5,2.6,19.1,5.0,20.4,0.533,24.4,6.6,SF,32,CHI,21,39.8,0.415,0.228,0.484,6.4,0.679,2.4,3.1,16.8,5.6,19.5,0.5,23.0,2.9
3029,1998,Terry Porter,PG,34,MIN,82,21.8,0.449,0.395,0.485,2.4,0.856,1.3,1.3,9.5,2.4,17.3,0.586,19.1,5.2,PG,34,MIN,5,37.6,0.429,0.4,0.447,3.6,0.833,0.8,2.0,15.8,3.0,17.0,0.557,18.6,0.5
3033,1998,J.R. Reid,PF,29,CHH,79,14.0,0.459,0.375,0.461,1.5,0.73,0.8,2.2,4.9,-3.3,11.3,0.517,18.2,1.8,PF,29,CHH,9,12.7,0.393,0.0,0.407,1.1,0.8,1.2,2.6,3.3,-8.4,4.2,0.463,19.2,-0.1
3035,1998,Glen Rice,SF,30,CHH,82,40.2,0.457,0.433,0.464,6.1,0.849,2.2,2.4,22.3,0.9,17.4,0.568,25.1,9.3,SF,30,CHH,9,41.0,0.474,0.306,0.518,4.0,0.833,1.4,2.9,22.8,2.4,18.2,0.543,27.5,0.8
3036,1998,Isaiah Rider,SG,26,POR,74,37.6,0.423,0.321,0.472,3.6,0.828,2.5,2.5,19.7,0.1,15.2,0.514,26.1,5.8,SG,26,POR,4,41.5,0.418,0.091,0.482,6.5,0.769,4.0,2.8,19.3,-2.6,12.3,0.491,25.2,-0.1
3038,1998,Clifford Robinson,SF,31,PHO,80,29.5,0.479,0.321,0.496,4.5,0.689,1.8,3.1,14.2,1.1,17.4,0.538,22.9,7.1,SF,31,PHO,4,23.0,0.273,0.0,0.281,2.3,0.778,1.3,4.8,6.3,-10.3,2.9,0.338,20.7,-0.2
3039,1998,David Robinson,C,32,SAS,73,33.7,0.511,0.25,0.512,9.0,0.735,2.8,2.8,21.6,8.3,27.8,0.581,29.7,13.8,C,32,SAS,9,39.2,0.425,,0.425,10.7,0.635,2.8,3.1,19.4,6.1,24.1,0.496,27.7,1.3
3040,1998,Dennis Rodman,PF,36,CHI,80,35.7,0.431,0.174,0.448,1.4,0.55,1.8,3.0,4.7,-0.3,12.4,0.459,8.7,7.8,PF,36,CHI,21,34.4,0.371,0.25,0.376,1.8,0.605,1.7,4.2,4.9,-1.7,10.8,0.419,10.3,1.5
3041,1998,Sean Rooks,C,28,LAL,41,10.4,0.455,,0.455,1.9,0.595,0.5,1.7,3.4,-3.0,13.4,0.512,16.0,1.1,C,28,LAL,4,2.8,0.333,,0.333,0.0,,0.0,0.5,1.0,2.0,13.1,0.333,25.3,0.0
3042,1998,Jalen Rose,SF,25,IND,82,20.8,0.478,0.342,0.496,2.8,0.728,1.6,2.1,9.4,-0.6,14.1,0.545,23.4,3.3,SF,25,IND,15,19.5,0.48,0.375,0.5,1.8,0.741,1.7,2.5,8.1,0.7,13.1,0.545,23.2,0.3
3043,1998,Malik Rose,PF,23,SAS,53,8.1,0.434,0.333,0.436,1.2,0.639,0.8,1.5,3.0,-4.8,10.1,0.485,22.6,0.4,PF,23,SAS,5,3.6,0.667,,0.667,0.8,0.5,0.8,0.4,2.0,1.9,20.9,0.644,31.7,0.0
3044,1998,Donald Royal,SF,31,TOT,31,10.4,0.362,,0.362,1.1,0.879,0.3,1.1,2.5,-4.0,8.3,0.473,13.4,0.4,SF,31,CHH,4,7.0,0.429,,0.429,1.0,0.75,0.3,1.0,2.3,-3.1,7.9,0.514,17.5,0.0
3045,1998,Bryon Russell,SF,27,UTA,82,27.1,0.43,0.341,0.492,3.4,0.766,1.0,2.8,9.0,0.8,12.9,0.57,15.2,6.0,SF,27,UTA,20,34.9,0.469,0.365,0.548,4.1,0.716,0.9,2.5,11.0,3.2,12.8,0.6,14.0,2.2
3046,1998,Arvydas Sabonis,C,33,POR,73,32.0,0.493,0.261,0.53,5.5,0.798,2.6,3.7,16.0,4.4,20.9,0.581,23.2,9.7,C,33,POR,4,26.8,0.45,0.5,0.447,3.5,0.857,2.5,4.8,12.3,0.5,16.4,0.531,23.3,0.1
3047,1998,Detlef Schrempf,SF,35,SEA,78,35.2,0.487,0.415,0.501,4.5,0.844,2.2,2.6,15.8,2.9,18.7,0.585,20.6,10.4,SF,35,SEA,10,37.5,0.512,0.143,0.559,3.8,0.816,2.2,2.1,16.1,1.5,18.4,0.568,20.7,0.8
3048,1998,Dennis Scott,SF,29,TOT,81,28.3,0.397,0.365,0.42,1.6,0.808,1.3,1.9,11.0,-1.1,12.1,0.502,19.7,2.4,SF,29,PHO,4,15.5,0.412,0.375,0.444,0.0,,0.5,0.5,4.3,-2.3,8.3,0.5,13.9,0.0
3052,1998,Steve Smith,SG,28,ATL,73,39.1,0.444,0.351,0.475,6.2,0.855,2.4,3.0,20.1,3.0,18.8,0.563,23.9,10.2,SG,28,ATL,4,40.0,0.574,0.5,0.604,4.0,0.688,1.3,4.3,24.8,7.6,24.2,0.66,25.1,0.9
3053,1998,Rik Smits,C,31,IND,73,28.6,0.495,0.0,0.497,3.3,0.783,1.8,3.3,16.7,0.9,19.9,0.532,29.2,6.1,C,31,IND,16,29.8,0.502,0.0,0.505,4.0,0.859,1.3,4.2,16.6,2.4,19.6,0.559,27.0,1.6
3054,1998,John Starks,SG,32,NYK,82,26.7,0.393,0.327,0.441,2.9,0.787,1.7,2.5,12.9,0.7,14.3,0.504,25.6,4.6,SG,32,NYK,10,31.4,0.472,0.424,0.515,2.4,0.875,1.1,3.5,16.4,7.8,20.5,0.605,22.5,1.4
3055,1998,John Stockton,PG,35,UTA,64,29.0,0.528,0.429,0.55,3.6,0.827,2.5,2.2,12.0,5.6,21.8,0.628,19.3,8.0,PG,35,UTA,20,29.8,0.494,0.346,0.522,3.6,0.718,2.4,2.7,11.1,6.4,20.0,0.569,20.0,2.2
3056,1998,Damon Stoudamire,PG,24,TOT,71,40.0,0.411,0.299,0.454,4.0,0.829,3.1,2.1,17.3,0.1,16.8,0.503,22.4,4.7,PG,24,POR,4,41.5,0.397,0.364,0.415,3.3,1.0,4.0,3.3,17.8,1.7,16.0,0.517,22.6,0.2
3060,1998,Nick Van Exel,PG,26,LAL,64,32.1,0.419,0.389,0.44,2.7,0.791,1.6,1.9,13.8,2.6,17.8,0.538,19.8,7.1,PG,26,LAL,13,28.2,0.331,0.314,0.346,3.1,0.725,1.7,2.3,11.6,-3.8,11.5,0.448,24.1,0.1
3061,1998,Keith Van Horn,PF,22,NJN,62,37.5,0.426,0.308,0.458,4.9,0.846,2.6,3.5,19.7,-0.8,15.7,0.516,25.2,4.8,PF,22,NJN,3,25.7,0.448,0.0,0.481,5.0,0.8,0.7,2.3,12.7,-2.7,15.1,0.534,23.6,0.1
3063,1998,Jacque Vaughn,PG,22,UTA,45,9.3,0.361,0.375,0.36,1.5,0.706,1.2,1.4,3.1,-7.6,6.9,0.457,23.0,-0.4,PG,22,UTA,7,3.4,0.2,0.5,0.125,0.3,1.0,0.6,0.0,1.0,-8.4,-0.9,0.322,30.4,-0.1
3064,1998,Rasheed Wallace,PF,23,POR,77,37.6,0.533,0.205,0.548,3.6,0.662,2.2,3.5,14.6,1.2,14.9,0.564,18.2,7.6,PF,23,POR,4,39.3,0.489,0.8,0.452,4.0,0.5,1.3,4.0,14.5,0.4,12.4,0.537,16.7,0.2
3065,1998,Charlie Ward,PG,27,NYK,82,28.3,0.455,0.377,0.512,1.4,0.805,2.1,2.4,7.8,4.1,15.6,0.567,15.0,7.1,PG,27,NYK,10,26.1,0.418,0.429,0.412,1.6,0.688,1.7,2.4,6.6,6.2,16.6,0.532,14.6,0.8
3066,1998,Bill Wennington,C,34,CHI,48,9.7,0.436,,0.436,0.4,0.81,0.3,1.6,3.5,-6.2,9.4,0.461,18.9,0.8,C,34,CHI,16,7.4,0.526,,0.526,0.5,0.5,0.5,1.4,2.8,-4.5,10.4,0.53,19.8,0.2
3067,1998,David Wesley,PG,27,CHH,81,35.1,0.443,0.347,0.467,3.6,0.795,2.8,2.8,13.0,0.7,15.2,0.532,19.8,5.8,PG,27,CHH,9,31.7,0.398,0.429,0.387,2.3,0.714,2.1,2.8,10.0,0.0,13.0,0.488,19.6,0.3
3068,1998,Mark West,C,37,IND,15,7.0,0.476,,0.476,0.4,0.5,0.5,1.0,1.5,-5.5,5.1,0.486,14.3,0.0,C,37,IND,4,2.8,0.5,,0.5,0.8,0.333,0.0,1.0,0.8,-10.2,2.9,0.452,15.0,0.0
3070,1998,Aaron Williams,PF,26,SEA,65,11.6,0.523,0.0,0.525,1.3,0.776,0.8,1.8,4.6,-3.3,13.4,0.575,18.8,1.7,PF,26,SEA,3,2.3,0.0,,0.0,0.7,1.0,0.3,0.0,0.7,-10.4,0.3,0.258,33.1,-0.1
3071,1998,Buck Williams,PF,37,NYK,41,18.0,0.503,,0.503,1.7,0.732,0.9,2.3,4.9,-1.2,12.3,0.56,13.9,2.1,PF,37,NYK,3,15.0,0.444,,0.444,2.7,0.75,1.0,1.7,4.7,-1.7,15.0,0.559,16.6,0.1
3072,1998,Hot Rod Williams,C,35,PHO,71,18.8,0.47,,0.47,1.3,0.699,0.4,1.9,3.6,-0.2,11.5,0.525,9.2,3.7,C,35,PHO,3,11.0,0.286,,0.286,1.0,0.667,0.0,2.7,2.0,-7.0,4.6,0.361,11.5,0.0
3075,1998,Monty Williams,SF,26,SAS,72,18.3,0.448,0.5,0.448,2.5,0.67,1.1,1.8,6.3,-1.8,11.3,0.505,18.9,2.3,SF,26,SAS,5,5.6,0.625,,0.625,0.6,0.667,0.8,0.4,2.4,-1.6,12.6,0.644,23.1,0.0
3077,1998,Walt Williams,SF,27,TOT,59,24.9,0.386,0.365,0.4,2.1,0.864,1.6,2.7,10.3,-0.4,13.4,0.508,20.9,2.2,SF,27,POR,4,25.5,0.548,0.533,0.563,3.5,0.786,0.3,4.5,13.3,6.4,20.5,0.713,16.6,0.5
3078,1998,Kevin Willis,PF,35,HOU,81,31.2,0.51,0.143,0.513,3.8,0.793,2.1,2.9,16.1,-1.9,18.3,0.555,24.1,6.0,PF,35,HOU,5,33.6,0.4,0.0,0.407,3.2,0.75,2.4,4.2,11.2,-1.7,13.2,0.451,20.8,0.2
3079,1998,David Wingate,SG,34,SEA,58,9.4,0.471,0.429,0.474,0.5,0.517,0.6,1.0,2.6,-3.9,8.6,0.491,16.1,0.3,SG,34,SEA,3,4.3,0.4,,0.4,2.0,0.667,0.3,0.3,2.7,10.2,30.1,0.524,31.5,0.1
3081,1999,Ray Allen,SG,23,MIL,50,34.4,0.45,0.356,0.492,3.9,0.903,2.4,2.3,17.1,2.4,18.9,0.564,24.5,5.2,SG,23,MIL,3,40.0,0.532,0.474,0.571,4.3,0.615,3.7,3.0,22.3,6.0,23.7,0.635,25.3,0.3
3082,1999,Nick Anderson,SF,31,ORL,47,33.6,0.395,0.347,0.433,3.4,0.611,1.8,1.5,14.9,2.1,15.3,0.493,22.8,3.9,SF,31,ORL,4,38.0,0.367,0.262,0.486,4.8,0.737,2.5,3.0,20.8,3.5,17.0,0.475,29.0,0.3
3083,1999,Shandon Anderson,SG,25,UTA,50,21.4,0.446,0.341,0.46,2.5,0.712,1.3,1.8,8.5,-1.2,12.8,0.511,21.6,2.0,SG,25,UTA,11,27.0,0.481,0.429,0.492,3.1,0.706,1.3,3.1,9.5,0.8,12.4,0.565,17.1,0.7
3084,1999,Greg Anthony,PG,31,POR,50,16.1,0.414,0.392,0.437,1.8,0.697,1.1,1.5,6.4,4.1,16.6,0.55,19.6,2.8,PG,31,POR,13,17.3,0.327,0.258,0.417,2.6,0.676,0.7,1.9,5.2,2.9,14.0,0.479,17.5,0.5
3085,1999,B.J. Armstrong,PG,31,TOT,32,11.2,0.455,0.467,0.452,0.7,0.857,0.8,1.0,3.3,-1.2,12.9,0.54,15.8,0.7,PG,31,ORL,2,1.5,0.0,,0.0,0.0,,0.5,0.5,0.0,-31.8,-26.8,0.0,30.1,0.0
3086,1999,Darrell Armstrong,PG,30,ORL,50,30.0,0.441,0.365,0.483,3.6,0.904,3.2,1.8,13.8,6.7,22.2,0.575,22.9,6.4,PG,30,ORL,4,40.8,0.37,0.375,0.364,4.0,1.0,6.3,4.0,14.8,-0.9,12.0,0.556,21.6,0.0
3087,1999,Keith Askins,SF,31,MIA,33,12.6,0.323,0.276,0.364,0.2,0.625,0.4,1.8,1.6,-3.5,3.5,0.404,9.4,0.2,SF,31,MIA,4,6.8,0.0,0.0,0.0,0.0,,0.0,1.3,0.0,-3.2,0.3,0.0,7.8,0.0
3088,1999,Stacey Augmon,SF,30,POR,48,18.2,0.448,0.0,0.453,1.6,0.684,0.6,1.7,4.3,2.7,13.0,0.501,12.4,2.6,SF,30,POR,13,13.5,0.357,0.0,0.37,1.4,0.833,0.2,1.2,2.7,1.8,12.2,0.487,11.0,0.4
3089,1999,Isaac Austin,C,29,ORL,49,25.7,0.408,0.286,0.41,3.2,0.669,2.3,2.6,9.7,-1.8,12.0,0.457,22.9,1.2,C,29,ORL,4,28.0,0.391,0.0,0.429,3.0,0.667,2.0,3.5,6.5,-1.5,8.6,0.46,14.6,0.0
3090,1999,Thurl Bailey,PF,37,UTA,43,12.6,0.446,0.0,0.451,0.8,0.735,0.6,1.8,4.2,-2.6,11.5,0.476,19.1,0.9,PF,37,UTA,11,10.5,0.515,,0.515,0.4,0.75,0.7,1.7,3.4,-1.7,9.9,0.532,17.8,0.1
3091,1999,Charles Barkley,PF,35,HOU,42,36.3,0.478,0.16,0.495,6.4,0.719,2.4,2.1,16.1,4.5,23.1,0.546,22.2,6.8,PF,35,HOU,4,39.3,0.529,0.286,0.557,7.5,0.667,2.0,3.0,23.5,7.9,29.0,0.579,25.6,0.8
3092,1999,Jon Barry,SG,29,SAC,43,17.1,0.428,0.304,0.593,2.0,0.845,1.1,1.4,5.0,2.8,15.9,0.609,12.9,2.4,SG,29,SAC,5,22.4,0.353,0.263,0.467,2.4,0.917,1.8,1.8,8.0,-0.7,12.5,0.509,19.8,0.1
3093,1999,Travis Best,PG,26,IND,49,21.3,0.416,0.373,0.427,1.7,0.843,1.3,2.3,7.1,-0.3,14.1,0.507,18.5,2.1,PG,26,IND,11,13.6,0.348,0.2,0.389,1.2,0.923,1.3,3.1,4.2,-6.2,7.4,0.445,20.8,0.0
3094,1999,Mookie Blaylock,PG,31,ATL,48,36.7,0.379,0.307,0.425,1.9,0.758,2.4,1.3,13.3,4.0,16.7,0.463,21.5,4.7,PG,31,ATL,9,39.8,0.326,0.353,0.31,1.7,0.467,3.3,1.2,12.6,-0.9,9.7,0.399,23.5,-0.3
3095,1999,Terrell Brandon,PG,28,TOT,36,33.8,0.418,0.255,0.435,2.2,0.833,2.1,2.3,13.9,3.2,19.5,0.463,23.0,3.2,PG,28,MIN,4,40.3,0.449,0.6,0.438,3.3,0.923,3.5,2.8,19.3,6.6,22.4,0.515,25.8,0.5
3097,1999,P.J. Brown,PF,29,MIA,50,32.2,0.48,,0.48,2.9,0.774,1.4,3.3,11.4,0.8,15.8,0.527,18.7,5.1,PF,29,MIA,5,28.8,0.467,0.0,0.477,2.0,0.9,0.6,3.4,10.2,1.0,17.2,0.516,19.1,0.4
3099,1999,Kobe Bryant,SG,20,LAL,50,37.9,0.465,0.267,0.494,5.8,0.839,3.1,3.1,19.9,2.1,18.9,0.549,25.3,5.2,SG,20,LAL,8,39.4,0.43,0.348,0.445,4.4,0.8,3.9,3.0,19.8,3.9,19.1,0.502,27.2,0.4
3100,1999,Jud Buechler,SF,30,DET,50,21.1,0.417,0.412,0.424,0.4,0.722,0.4,1.7,5.5,2.1,12.2,0.553,12.1,2.9,SF,30,DET,5,16.8,0.2,0.25,0.143,0.0,,0.6,1.2,1.6,-2.6,3.6,0.267,11.1,-0.1
3101,1999,Matt Bullard,PF,31,HOU,41,10.1,0.377,0.387,0.365,0.2,0.7,0.3,0.7,2.9,-1.3,9.6,0.494,15.1,0.5,PF,31,HOU,2,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.5,24.6,48.4,1.215,16.2,0.1
3102,1999,Marcus Camby,C,24,NYK,46,20.5,0.521,,0.521,2.2,0.553,0.8,2.8,7.2,1.4,17.6,0.537,17.5,3.5,C,24,NYK,20,25.5,0.566,0.0,0.57,3.7,0.616,0.8,3.8,10.4,6.9,24.8,0.591,18.4,3.0
3103,1999,Antoine Carr,PF,37,HOU,18,8.4,0.404,0.0,0.412,0.4,0.714,0.5,1.7,2.6,-5.8,8.9,0.427,19.8,0.0,PF,37,HOU,4,9.3,0.364,,0.364,0.0,,1.0,4.8,2.0,-13.8,-3.2,0.364,18.3,-0.1
3104,1999,Sam Cassell,PG,29,TOT,8,24.9,0.419,0.2,0.446,6.3,0.94,2.5,2.8,15.9,4.6,23.1,0.552,31.0,0.8,PG,29,MIL,3,34.0,0.5,0.0,0.516,5.3,0.875,2.3,4.7,15.3,2.8,21.6,0.589,21.5,0.3
3105,1999,Kelvin Cato,C,24,POR,43,12.7,0.45,1.0,0.445,1.6,0.507,0.6,2.3,3.5,0.1,14.5,0.476,15.6,1.6,C,24,POR,8,5.4,0.111,,0.111,1.3,0.4,0.3,1.6,0.8,-12.6,-2.0,0.224,17.8,-0.1
3108,1999,Chris Childs,PG,31,NYK,48,27.0,0.427,0.383,0.451,1.6,0.821,1.8,3.3,6.8,-0.5,11.1,0.544,14.3,2.9,PG,31,NYK,20,24.7,0.355,0.321,0.369,1.3,0.731,1.5,3.2,4.7,-1.7,8.2,0.45,13.4,0.5
3109,1999,Tyrone Corbin,SF,36,ATL,47,22.7,0.391,0.319,0.431,1.7,0.65,0.9,1.6,7.5,-0.4,11.4,0.475,18.2,2.2,SF,36,ATL,9,29.8,0.417,0.261,0.49,0.4,0.75,0.9,2.2,7.7,-0.3,10.4,0.468,14.9,0.3
3111,1999,Austin Croshere,PF,23,IND,27,9.2,0.427,0.276,0.522,0.9,0.87,0.9,1.2,3.4,-1.6,12.3,0.54,20.8,0.3,PF,23,IND,1,1.0,0.0,,0.0,2.0,1.0,0.0,0.0,2.0,22.0,107.0,0.532,89.2,0.0
3112,1999,Dell Curry,SG,34,MIL,42,20.6,0.485,0.476,0.492,0.8,0.824,1.1,1.0,10.1,4.0,18.7,0.603,21.9,2.6,SG,34,MIL,3,16.3,0.133,0.125,0.143,1.3,1.0,0.0,1.7,3.0,-7.8,2.2,0.268,16.3,-0.1
3113,1999,Michael Curry,SF,30,MIL,50,22.9,0.437,0.067,0.466,1.6,0.797,0.7,2.7,4.9,-2.3,8.7,0.507,11.6,1.7,SF,30,MIL,3,19.7,0.583,0.0,0.636,2.0,1.0,0.7,2.7,6.7,1.6,15.0,0.683,13.4,0.1
3114,1999,Antonio Daniels,PG,23,SAS,47,13.1,0.454,0.294,0.47,1.4,0.754,0.9,0.8,4.7,1.6,16.1,0.52,19.4,1.8,PG,23,SAS,15,7.1,0.429,0.667,0.333,0.4,0.833,0.7,0.5,1.8,0.1,11.3,0.571,15.7,0.2
3115,1999,Antonio Davis,PF,30,IND,49,25.9,0.471,,0.471,3.9,0.703,1.0,2.8,9.4,-0.1,16.7,0.535,18.2,4.0,PF,30,IND,13,25.1,0.413,,0.413,4.8,0.661,1.5,3.0,7.9,-1.6,13.1,0.504,17.8,0.6
3116,1999,Dale Davis,PF,29,IND,50,27.5,0.533,,0.533,2.5,0.618,0.9,2.3,8.0,0.9,16.6,0.559,13.9,4.5,PF,29,IND,13,30.3,0.584,,0.584,3.8,0.56,1.6,3.2,9.1,2.8,18.1,0.596,14.5,1.4
3117,1999,Bison Dele,C,29,DET,49,24.0,0.501,0.0,0.502,2.4,0.686,2.3,3.7,10.5,-1.0,15.8,0.531,24.0,2.4,C,29,DET,5,24.4,0.6,,0.6,1.8,0.556,1.4,5.0,10.6,0.2,19.2,0.603,21.6,0.4
3119,1999,Vlade Divac,C,30,SAC,50,35.2,0.47,0.256,0.488,5.1,0.702,2.6,3.3,14.3,2.2,18.0,0.533,19.4,5.2,C,30,SAC,5,39.6,0.446,0.2,0.471,7.2,0.833,3.8,3.4,16.2,4.1,19.2,0.564,21.1,0.6
3120,1999,Michael Doleac,C,21,ORL,49,15.9,0.468,,0.468,1.6,0.675,0.5,2.4,6.2,-2.3,13.7,0.503,19.1,2.2,C,21,ORL,4,10.8,0.278,0.0,0.294,2.3,0.778,0.8,1.5,4.3,-8.6,7.4,0.387,26.2,0.0
3122,1999,Chris Dudley,C,33,NYK,46,14.9,0.44,,0.44,0.9,0.475,0.5,2.5,2.5,-2.3,9.6,0.454,10.5,1.5,C,33,NYK,18,16.3,0.421,,0.421,1.6,0.393,0.5,3.5,2.4,-1.6,8.0,0.427,9.9,0.6
3123,1999,Joe Dumars,SG,35,DET,38,29.4,0.411,0.403,0.426,1.6,0.836,1.4,1.3,11.3,1.7,15.1,0.568,18.3,3.2,SG,35,DET,5,30.6,0.487,0.526,0.45,0.6,1.0,1.8,1.8,10.2,0.8,13.5,0.632,16.6,0.3
3124,1999,Tim Duncan,PF,22,SAS,50,39.3,0.495,0.143,0.498,7.2,0.69,2.9,2.9,21.7,4.5,23.2,0.541,27.2,8.7,PF,22,SAS,17,43.1,0.511,0.0,0.516,8.4,0.748,3.1,2.9,23.2,6.6,25.1,0.573,26.8,3.7
3125,1999,Howard Eisley,PG,26,UTA,50,20.8,0.446,0.42,0.451,1.6,0.838,2.2,2.4,7.4,-2.4,11.7,0.527,21.1,1.3,PG,26,UTA,11,21.9,0.366,0.208,0.447,2.6,0.828,1.8,2.5,7.4,-2.0,10.7,0.484,20.6,0.2
3126,1999,Mario Elie,SG,35,SAS,47,27.5,0.471,0.374,0.518,2.5,0.866,1.3,1.9,9.7,2.3,14.5,0.593,16.0,4.5,SG,35,SAS,17,30.9,0.384,0.267,0.427,2.9,0.837,1.5,2.5,7.9,1.3,11.6,0.505,14.9,1.3
3127,1999,Sean Elliott,SF,30,SAS,50,30.2,0.41,0.328,0.436,2.8,0.757,1.4,2.1,11.2,-0.2,12.6,0.493,19.7,3.5,SF,30,SAS,17,33.8,0.444,0.4,0.469,3.5,0.763,1.2,2.9,11.9,2.6,13.9,0.567,17.3,1.9
3128,1999,Patrick Ewing,C,36,NYK,38,34.2,0.435,0.0,0.436,6.1,0.706,2.6,2.8,17.3,1.9,19.4,0.491,28.4,3.3,C,36,NYK,11,31.5,0.43,,0.43,3.3,0.778,0.9,3.2,13.1,1.4,17.0,0.477,22.9,1.0
3129,1999,Derek Fisher,PG,24,LAL,50,22.6,0.376,0.392,0.367,1.6,0.759,1.5,1.9,5.9,-0.6,12.1,0.497,14.9,1.7,PG,24,LAL,8,29.8,0.418,0.345,0.474,1.9,0.8,1.4,2.5,9.8,1.7,16.0,0.53,16.2,0.5
3130,1999,Greg Foster,PF,30,UTA,42,10.9,0.377,0.25,0.381,0.5,0.619,0.6,1.5,2.8,-6.1,6.3,0.401,17.9,0.1,PF,30,UTA,8,8.8,0.421,,0.421,0.0,,0.4,1.4,2.0,-7.1,2.4,0.421,15.1,0.0
3131,1999,Rick Fox,SF,29,LAL,44,21.5,0.448,0.337,0.494,2.0,0.742,1.3,2.6,9.0,-1.2,13.6,0.534,20.3,1.8,SF,29,LAL,8,22.6,0.4,0.19,0.513,0.1,1.0,1.8,3.3,6.6,-4.7,7.2,0.438,18.7,-0.2
3133,1999,Lawrence Funderburke,PF,28,SAC,47,19.9,0.559,0.2,0.565,2.6,0.708,1.1,1.6,8.9,0.7,18.5,0.597,18.4,3.1,PF,28,SAC,3,10.3,0.417,,0.417,0.0,,1.0,1.0,3.3,-3.8,9.5,0.417,22.2,0.0
3134,1999,Kevin Garnett,PF,22,MIN,47,37.9,0.46,0.286,0.463,4.4,0.704,2.9,3.2,20.8,5.3,22.4,0.493,27.8,5.4,PF,22,MIN,4,42.5,0.443,0.0,0.455,5.8,0.739,3.3,2.5,21.8,8.1,24.1,0.488,28.1,0.5
3136,1999,Pat Garrity,PF,22,PHO,39,13.8,0.5,0.389,0.513,1.4,0.714,0.5,1.6,5.6,-3.0,13.0,0.557,18.4,1.1,PF,22,PHO,3,17.3,0.529,1.0,0.429,2.0,1.0,1.0,3.0,9.0,2.6,20.8,0.687,20.1,0.2
3138,1999,Matt Geiger,C,29,PHI,50,30.8,0.479,0.2,0.482,3.5,0.797,2.0,3.1,13.5,0.3,17.1,0.532,21.6,4.7,C,29,PHI,8,29.9,0.438,0.0,0.442,3.6,0.828,1.6,3.6,13.5,1.0,18.6,0.497,23.1,0.7
3139,1999,Armen Gilliam,PF,34,MIL,34,19.6,0.453,0.0,0.455,3.0,0.782,1.1,1.4,8.3,-0.6,15.9,0.525,21.7,1.5,PF,34,MIL,3,11.7,0.4,,0.4,1.7,1.0,0.3,1.3,5.7,0.2,17.7,0.494,24.8,0.0
3140,1999,Brian Grant,PF,26,POR,48,31.8,0.479,,0.479,4.7,0.814,2.0,2.8,11.5,0.7,17.0,0.571,17.3,5.9,PF,26,POR,13,37.1,0.529,,0.529,5.5,0.625,1.6,3.7,13.2,1.8,17.4,0.567,17.7,1.5
3142,1999,Horace Grant,PF,33,ORL,50,33.2,0.434,0.0,0.436,1.4,0.671,0.9,2.0,8.9,0.7,13.3,0.455,14.5,4.1,PF,33,ORL,4,32.0,0.367,,0.367,2.0,0.625,0.5,3.0,6.8,-1.8,10.1,0.403,12.5,0.1
3145,1999,Tom Hammonds,PF,31,MIN,49,14.6,0.458,,0.458,1.5,0.64,0.7,1.8,4.3,-5.0,9.4,0.5,15.0,1.0,PF,31,MIN,4,4.5,,,,1.0,1.0,0.3,1.0,1.0,-5.7,6.2,1.136,7.2,0.1
3146,1999,Anfernee Hardaway,SG,27,ORL,50,38.9,0.42,0.286,0.452,4.2,0.706,3.0,2.2,15.8,2.8,16.7,0.488,22.4,5.0,SG,27,ORL,4,41.8,0.351,0.462,0.318,9.8,0.769,3.0,3.3,19.0,5.0,18.4,0.512,23.3,0.4
3147,1999,Tim Hardaway,PG,32,MIA,48,36.9,0.4,0.36,0.429,3.1,0.812,2.7,2.1,17.4,3.3,18.8,0.511,26.5,5.4,PG,32,MIA,5,36.4,0.268,0.2,0.323,3.2,0.625,3.6,2.8,9.0,-5.4,6.2,0.357,23.3,-0.5
3148,1999,Derek Harper,PG,37,LAL,45,24.9,0.412,0.368,0.443,0.7,0.813,1.2,1.5,6.9,-0.1,12.8,0.506,14.4,2.0,PG,37,LAL,7,16.1,0.419,0.1,0.571,0.9,0.5,0.6,0.3,4.3,-2.6,11.3,0.446,15.1,0.0
